A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
51.75,105.0,739.975,142.9903381642512,438.0,3.0631440251359847,0.19834710743801653,forefoot,28.5,10.5,2,R,11
50.0,115.5,612.375,122.475,571.0,4.662175954276383,0.2003968253968254,toes,29.0,10.5,2,L,12
53.0,109.25,523.75,98.82075471698113,545.0,5.515035799522673,0.189010989010989,heel,29.0,10.0,2,R,13
56.5,119.0,939.825,166.3407079646018,1043.0,6.270263080892718,0.20077972709551656,forefoot,29.0,10.5,2,L,14
47.0,96.25,513.1750000000001,109.18617021276597,392.0,3.5901982754421002,0.13024282560706402,toes,28.0,10.0,2,L,15
53.25,108.25,681.0,127.88732394366198,484.0,3.7845814977973564,0.184,forefoot,28.5,10.5,2,R,16
51.0,109.5,668.25,131.02941176470588,421.0,3.2130190796857465,0.18700787401574803,forefoot,29.5,9.5,2,L,17
51.25,103.0,741.5,144.6829268292683,514.0,3.552596089008766,0.10392609699769054,heel,28.5,9.5,2,R,18
68.25,107.5,608.825,89.2051282051282,349.0,3.9123311296349526,0.1988071570576541,heel,29.0,10.5,2,L,19
51.75,120.75,774.225,149.6086956521739,450.0,3.007846556233653,0.19646365422396855,toes,28.0,9.5,2,L,20
50.75,103.25,601.6,118.54187192118228,454.0,3.8298703457446805,0.14691943127962084,toes,29.5,10.5,2,R,21
47.75,96.75,552.275,115.65968586387434,482.0,4.167398488072066,0.17903930131004367,toes,28.5,9.5,2,L,22
56.0,109.25,503.6,89.92857142857143,421.0,4.681493248610008,0.20412371134020618,heel,28.5,10.0,2,R,23
70.25,126.5,1016.75,144.73309608540924,829.0,5.727784607819031,0.18016194331983806,heel,29.0,11.5,2,L,24
46.5,93.0,485.6,104.43010752688174,373.0,3.5717668863261935,0.16740088105726872,forefoot,27.5,10.0,2,L,25
56.0,118.25,700.4250000000001,125.07589285714288,482.0,3.8536602776885456,0.1937984496124031,forefoot,28.5,10.5,2,R,26
